Qt,Name,NameWisdom,CMC,MCost,Edition,MulID,Rarity,La
4,Dismal Backwater,《陰鬱な僻地/Dismal Backwater》,0,,Kamigawa: Neon Dynasty,548580,C,JP
8,Island,《島/Island》,0,,Phyrexia: All Will Be One,604625,C,JP
4,Murky Sewer,《薄暗い下水道/Murky Sewer》,0,,Duskmourn: House of Horror,673668,C,JP
7,Swamp,《沼/Swamp》,0,,Phyrexia: All Will Be One,604626,C,JP
4,Candy Trail,《キャンディーの道標/Candy Trail》,1,{1},Wilds of Eldraine,629744,C,JP
4,Cut Down,《切り崩し/Cut Down》,1,{B},Dominaria United,577725,U,JP
3,Duress,《強迫/Duress》,1,{B},Ixalan,436455,C,JP
4,Anoint with Affliction,《苦痛ある選定/Anoint with Affliction》,2,{1}{B},Phyrexia: All Will Be One,602611,C,JP
4,Bring the Ending,《終焉よ来たれ/Bring the Ending》,2,{1}{U},Phyrexia: All Will Be One,602574,C,JP
3,Deduce,《推理/Deduce》,2,{1}{U},Murders at Karlov Manor,646614,C,JP
4,Experimental Augury,《実験的占い/Experimental Augury》,2,{1}{U},Phyrexia: All Will Be One,604959,C,JP
2,Drown in Ichor,《胆液まみれ/Drown in Ichor》,2,{1}{B},Phyrexia: All Will Be One,603926,U,JP
3,Negate,《否認/Negate》,2,{1}{U},Aether Revolt,423707,C,JP
4,Prologue to Phyresis,《ファイレクシア病の前触れ/Prologue to Phyresis》,2,{1}{U},Phyrexia: All Will Be One,602595,C,JP
2,Serum Snare,《血清の罠/Serum Snare》,2,{1}{U},Phyrexia: All Will Be One,602598,U,JP
4,Voidwing Hybrid,《虚空翼の混種/Voidwing Hybrid》,2,{U}{B},Phyrexia: All Will Be One,602751,U,JP
3,Malicious Eclipse,《悪意ある覆い隠し/Malicious Eclipse》,3,{1}{B}{B},The Lost Caverns of Ixalan,636816,U,JP
3,Reject Imperfection,《不完全を拒絶せよ/Reject Imperfection》,3,{1}{U}{U},Phyrexia: All Will Be One,602597,U,JP
2,Vampire Nighthawk,《吸血鬼の夜鷲/Vampire Nighthawk》,3,{1}{B}{B},Foundations,680618,U,JP
3,Vraska's Fall,《ヴラスカの堕落/Vraska's Fall》,3,{2}{B},Phyrexia: All Will Be One,602646,C,JP
